order_id,user_id,product_id,timestamp,quantity,total_amount,payment
O000029,U01015,P0041,2025-10-09 07:13:12.178705,1,180.75,支付宝
O000030,U00659,P0278,2025-10-15 08:32:01.867387,1,15.98,微信
O000031,U01824,P0170,2025-09-30 07:29:27.840384,1,47.13,花呗
O000032,U01735,P0240,2025-03-08 22:57:52.712333,2,56.54,银行卡
O000033,U01892,P0279,2025-10-04 04:33:36.454074,1,48.35,花呗
O000034,U00847,P0359,2025-10-15 19:12:05.830324,3,59.52,支付宝
O000035,U00869,P0020,2025-04-13 07:03:35.870027,1,114.79,微信
O000036,U00985,P0038,2025-11-22 15:48:58.917626,2,883.0,支付宝
O000037,U01501,P0472,2025-05-25 02:56:29.086911,1,125.52,支付宝
O000038,U00971,P0140,2025-08-03 09:50:39.066556,1,58.14,支付宝
O000039,U01111,P0067,2025-02-19 19:47:11.302180,2,197.92,微信
O000040,U00109,P0314,2025-09-08 06:53:09.898986,2,84.96,花呗
O000041,U01906,P0422,2025-12-01 12:12:12.195257,3,442.53,微信
O000042,U01841,P0029,2025-12-02 13:14:32.222578,1,38.25,微信
O000043,U01695,P0365,2025-06-22 08:50:32.479111,1,34.96,花呗
O000044,U00339,P0120,2025-03-05 00:25:25.811568,1,187.43,花呗
O000045,U00366,P0479,2025-01-04 08:25:14.557169,1,102.34,微信
O000046,U01844,P0239,2025-11-03 17:59:39.347667,2,20.6,支付宝
O000047,U01383,P0261,2025-02-06 06:38:23.388937,3,170.55,微信
O000048,U01909,P0173,2025-06-02 12:19:43.805533,1,67.87,银行卡
O000049,U01510,P0484,2025-01-10 10:58:52.744758,1,47.82,微信
O000050,U00247,P0218,2025-11-28 16:51:10.355616,1,64.56,支付宝
O000051,U00502,P0346,2025-09-02 20:15:33.795652,1,52.08,支付宝
O000052,U00336,P0238,2025-03-23 08:29:06.424952,2,10.0,支付宝
O000053,U01819,P0201,2025-04-13 19:54:35.419314,2,13.42,支付宝
O000054,U00830,P0155,2025-01-26 07:51:59.259732,2,298.76,微信
O000055,U01442,P0309,2025-11-20 08:24:51.542072,1,14.28,微信
O000056,U00889,P0500,2025-07-09 22:34:55.082223,1,68.81,微信
O000057,U01661,P0116,2025-02-25 04:57:45.236463,2,48.62,银行卡
O000058,U00362,P0095,2025-07-02 01:17:37.156287,2,62.1,支付宝
O000059,U00302,P0326,2025-11-22 03:03:09.927289,1,51.41,微信
O000060,U01000,P0074,2025-10-07 13:31:53.473309,1,24.93,支付宝
O000061,U00914,P0453,2025-06-16 13:49:34.544285,2,258.6,支付宝
O000062,U01979,P0225,2025-10-28 07:32:23.723540,3,197.52,微信
O000063,U00479,P0291,2025-09-15 07:34:28.660457,1,95.31,支付宝
O000064,U01752,P0125,2025-12-19 17:17:50.096984,3,1601.79,支付宝
O000065,U00547,P0032,2025-10-09 12:34:53.365689,2,54.62,支付宝
O000066,U01334,P0453,2025-12-25 16:46:51.563472,3,387.9,微信
O000067,U00124,P0182,2025-11-01 00:27:28.759242,2,48.08,微信
O000068,U00124,P0417,2025-09-18 12:07:34.012590,2,105.08,花呗
O000069,U00113,P0400,2025-06-12 02:05:42.473291,1,14.76,银行卡
O000070,U00846,P0049,2025-05-06 22:40:37.487013,2,184.06,微信
O000071,U00607,P0253,2025-10-09 18:12:11.058773,3,71.34,支付宝
O000072,U01384,P0249,2025-08-06 17:49:18.201836,2,20.46,微信
O000073,U01794,P0147,2025-04-23 00:29:59.197509,2,90.86,银行卡
O000074,U00427,P0281,2025-10-04 22:24:52.854991,1,235.34,微信
O000075,U00095,P0039,2025-09-25 03:02:08.751017,3,167.88,花呗
O000076,U01139,P0226,2025-07-13 17:36:13.065493,1,41.65,微信
O000077,U01696,P0204,2025-07-17 10:29:41.582881,1,23.92,支付宝
O000078,U00557,P0071,2025-05-16 04:50:49.174259,1,97.71,微信
O000079,U01040,P0498,2025-11-29 18:31:40.751946,1,42.31,支付宝
O000080,U00566,P0046,2025-06-21 16:21:31.940657,2,141.8,支付宝
O000081,U00838,P0235,2025-01-07 17:19:05.322530,1,284.5,支付宝
O000082,U00877,P0431,2025-02-11 06:38:52.035666,2,46.8,支付宝
O000083,U01850,P0376,2025-12-15 01:35:31.407566,2,38.62,微信
O000084,U01316,P0031,2025-07-31 03:15:37.796703,1,46.48,微信
O000085,U01171,P0346,2025-05-28 22:18:32.812333,3,156.24,支付宝
O000086,U00683,P0378,2025-03-25 20:33:16.013483,2,63.62,微信
O000087,U00323,P0364,2025-07-03 11:16:33.724721,2,134.6,支付宝
O000088,U01430,P0187,2025-06-01 06:19:41.061465,3,26.4,银行卡
O000089,U01308,P0021,2025-01-13 10:43:53.221841,3,141.3,支付宝
O000090,U00404,P0162,2025-02-07 18:38:20.128385,1,58.17,花呗
O000091,U00831,P0320,2025-12-08 21:00:45.976505,1,864.96,支付宝
O000092,U01253,P0385,2025-08-25 22:07:05.253752,1,260.86,花呗
O000093,U01628,P0400,2025-10-30 20:53:40.118079,1,14.76,支付宝
O000094,U01303,P0005,2025-06-30 10:05:51.005366,1,,银行卡
O000095,U01248,P0400,2025-01-07 03:18:50.518934,1,14.76,微信
O000096,U00018,P0404,2025-02-06 10:51:06.342056,3,54.45,微信
O000097,U00910,P0433,2025-06-16 08:22:19.828981,2,666.3,微信
O000098,U00091,P0469,2025-01-04 02:08:01.685619,3,125.55,支付宝
O000099,U01457,P0436,2025-08-22 02:04:27.902125,2,259.26,花呗
O000100,U01986,P0297,2025-05-05 15:02:49.588283,1,98.93,银行卡
O000101,U00439,P0429,2025-12-13 08:17:56.763925,1,34.64,支付宝
O000102,U01768,P0027,2025-03-06 00:17:40.024242,1,28.35,支付宝
O000103,U00366,P0205,2025-11-10 07:05:34.642638,1,113.83,微信
O000104,U01905,P0342,2025-08-13 10:30:40.872205,3,233.97,支付宝
O000105,U00155,P0306,2025-05-07 20:32:48.002384,1,31.78,微信
O000106,U00320,P0333,2025-01-25 15:11:45.658479,2,363.42,微信
O000107,U01779,P0110,2025-03-26 20:46:29.439867,3,29.22,花呗
O000108,U01716,P0429,2025-11-03 12:03:02.928880,1,34.64,微信
O000109,U00601,P0419,2025-11-03 23:52:09.920391,1,30.55,支付宝
O000110,U01474,P0004,2025-04-14 14:44:58.263216,1,47.14,微信
O000111,U01413,P0367,2025-06-12 02:18:43.865290,1,54.79,微信
O000112,U01812,P0322,2025-04-24 08:31:40.893261,1,26.64,花呗
O000113,U01310,P0131,2025-06-09 11:26:12.566754,2,46.66,微信
O000114,U00312,P0322,2025-06-23 15:39:18.447191,2,53.28,微信
O000115,U01900,P0092,2025-10-29 10:30:06.033823,2,355.02,微信
O000116,U00082,P0396,2025-01-26 07:13:12.397284,3,271.17,微信
O000117,U01485,P0497,2025-08-30 06:14:51.945282,2,174.98,微信
O000118,U00617,P0127,2025-07-11 23:40:53.896590,1,21.34,花呗
O000119,U00759,P0435,2025-06-01 08:19:54.639044,1,20.97,银行卡
O000120,U01580,P0273,2025-09-29 13:52:20.948624,2,29.16,支付宝
O000121,U00407,P0012,2025-06-28 18:35:10.492219,1,46.23,花呗
O000122,U00359,P0019,2025-08-11 03:08:06.267623,2,96.48,银行卡
O000123,U00484,P0157,2025-10-19 14:53:43.072882,1,76.32,微信
O000124,U01274,P0440,2025-06-18 14:46:26.804659,1,24.01,支付宝
O000125,U00144,P0176,2025-01-10 11:23:38.929929,2,26.76,支付宝
O000126,U01735,P0188,2025-09-06 07:57:17.573577,1,148.75,微信
O000127,U01357,P0280,2025-05-24 03:24:04.019124,3,232.98,花呗
O000128,U00294,P0322,2025-08-10 10:05:16.633137,2,53.28,花呗
O000129,U00872,P0202,2025-04-17 01:41:24.713859,3,136.14,支付宝
O000130,U00940,P0102,2025-05-05 09:35:39.889249,1,96.73,支付宝
O000131,U01429,P0220,2025-04-29 13:54:37.055536,3,386.28,花呗
O000132,U01826,P0487,2025-04-25 07:53:39.180914,1,9.91,微信
O000133,U01599,P0004,2025-07-02 02:18:38.654363,1,47.14,微信
O000134,U00364,P0165,2025-02-17 13:07:51.508452,1,40.04,花呗
O000135,U00709,P0299,2025-01-06 07:47:41.706584,2,64.6,银行卡
O000136,U00859,P0264,2025-01-15 05:51:33.750616,2,482.78,微信
O000137,U01206,P0289,2025-05-19 17:56:41.310355,1,36.52,支付宝
O000138,U01849,P0194,2025-12-08 08:30:45.862877,1,5.0,微信
O000139,U01680,P0488,2025-07-03 22:36:33.710603,1,84.94,银行卡
O000140,U00570,P0202,2025-06-02 02:03:54.324519,1,45.38,微信
O000141,U00665,P0266,2025-12-18 03:29:34.876031,2,419.12,微信
O000142,U00262,P0455,2025-12-30 08:03:16.236823,2,444.32,支付宝
O000143,U01932,P0072,2025-10-30 03:54:04.813876,2,133.16,微信
O000144,U01954,P0033,2025-07-29 10:25:58.390743,1,164.89,支付宝
O000145,U00141,P0328,2025-06-14 01:28:20.357792,1,17.6,微信
O000146,U00987,P0225,2025-07-15 14:20:43.987545,1,65.84,微信
O000147,U00730,P0225,2025-12-19 06:18:06.368355,2,131.68,微信
O000148,U01837,P0358,2025-11-10 01:06:22.872304,3,302.19,支付宝
O000149,U00410,P0127,2025-07-08 04:56:03.935663,2,42.68,花呗
O000150,U00986,P0469,2025-02-22 08:06:26.177290,3,125.55,银行卡
O000151,U01178,P0259,2025-01-31 10:10:27.449022,2,230.5,微信
O000152,U00054,P0039,2025-08-24 10:13:33.816042,1,55.96,支付宝
O000153,U00438,P0342,2025-06-01 03:09:59.671957,1,77.99,支付宝
O000154,U01491,P0469,2025-01-06 20:05:38.366404,3,125.55,支付宝
O000155,U01692,P0009,2025-11-04 00:39:47.006012,1,91.77,微信
O000156,U00567,P0157,2025-06-11 14:12:15.709703,1,76.32,银行卡
O000157,U00555,P0417,2025-05-24 17:26:30.118526,3,157.62,支付宝
O000158,U00766,P0351,2025-11-09 03:10:12.519360,1,46.71,支付宝
O000159,U00087,P0036,2025-01-28 05:25:24.660845,1,83.1,支付宝
O000160,U00680,P0186,2025-06-09 20:06:55.454879,3,221.49,微信
O000161,U00368,P0123,2025-05-03 08:15:13.929780,1,45.44,微信
O000162,U00604,P0145,2025-08-22 10:58:49.917908,1,138.76,银行卡
O000163,U00942,P0021,2025-10-24 13:49:09.120891,1,47.1,花呗
O000164,U00902,P0263,2025-06-29 00:18:43.955379,1,118.47,微信
O000165,U00150,P0215,2025-01-03 03:50:06.099265,2,218.52,支付宝
O000166,U01083,P0393,2025-09-27 20:49:35.320209,1,13.26,支付宝
O000167,U00796,P0479,2025-08-21 08:39:47.546926,1,102.34,银行卡
O000168,U01800,P0072,2025-11-09 17:48:46.771225,3,199.74,支付宝
O000169,U01390,P0437,2025-02-10 10:59:14.714710,3,306.75,微信
O000170,U00427,P0410,2025-06-05 12:25:53.422609,2,489.02,微信
O000171,U00526,P0115,2025-07-11 23:07:59.020267,1,51.86,微信
O000172,U00982,P0390,2025-07-01 10:23:16.504944,2,34.84,支付宝
O000173,U00215,P0112,2025-11-16 16:05:51.671600,1,53.66,微信
O000174,U01507,P0133,2025-09-12 18:50:43.546085,1,74.31,支付宝
O000175,U01882,P0228,2025-09-20 22:09:14.849424,1,48.74,支付宝
O000176,U00241,P0041,2025-11-08 08:19:02.041032,2,361.5,支付宝
O000177,U01778,P0069,2025-01-13 12:11:43.523659,1,,支付宝
O000178,U01759,P0126,2025-12-21 01:35:39.584516,1,26.21,花呗
O000179,U01212,P0349,2025-11-10 23:34:46.604489,3,1179.09,支付宝
O000180,U00274,P0359,2025-03-01 15:04:34.194576,2,39.68,支付宝
O000181,U00782,P0250,2025-10-15 22:55:29.507768,2,88.72,微信
O000182,U01451,P0418,2025-04-18 05:47:07.677770,1,70.12,花呗
O000183,U01602,P0015,2025-04-18 23:35:49.526043,2,96.2,银行卡
O000184,U01675,P0421,2025-03-23 14:41:48.910043,3,251.88,支付宝
O000185,U00780,P0450,2025-12-17 06:20:20.348575,2,530.08,银行卡
O000186,U00993,P0431,2025-09-29 12:39:34.351234,1,23.4,微信
O000187,U00692,P0449,2025-09-01 20:09:59.837800,1,164.07,支付宝
O000188,U00506,P0432,2025-06-04 21:28:03.449613,1,34.78,银行卡
O000189,U00983,P0116,2025-06-16 10:37:49.400091,1,24.31,支付宝
O000190,U01551,P0478,2025-07-26 05:49:57.375961,1,27.8,微信
O000191,U01187,P0280,2025-05-10 02:52:38.351963,3,232.98,银行卡
O000192,U00626,P0191,2025-05-29 18:11:36.062623,2,141.48,支付宝
O000193,U01555,P0318,2025-10-25 14:24:08.499786,3,308.85,支付宝
O000194,U01115,P0144,2025-10-10 21:12:28.102654,1,52.49,支付宝
O000195,U01923,P0043,2025-04-18 13:56:47.861078,2,310.08,支付宝
O000196,U00098,P0287,2025-06-09 17:46:28.076299,1,35.86,支付宝
O000197,U01453,P0095,2025-09-06 03:38:42.998083,1,31.05,微信
O000198,U01901,P0037,2025-12-28 15:04:19.364253,1,10.27,支付宝
O000199,U01722,P0283,2025-09-24 12:51:02.972875,2,167.12,微信
O000200,U00468,P0160,2025-05-15 11:45:58.066791,1,13.54,花呗
O000201,U00728,P0070,2025-07-26 17:05:30.587986,3,641.55,支付宝
O000202,U01135,P0266,2025-07-26 21:12:11.843132,1,209.56,支付宝
O000203,U01753,P0372,2025-02-13 06:44:12.344766,1,135.67,微信
O000204,U00204,P0174,2025-02-15 10:24:25.764298,1,613.02,银行卡
O000205,U01837,P0364,2025-11-15 09:36:38.698605,1,67.3,微信
O000206,U00038,P0045,2025-03-02 05:58:49.476880,2,22.7,微信
O000207,U00101,P0346,2025-05-02 10:19:33.377657,1,52.08,支付宝
O000208,U01727,P0383,2025-01-29 09:15:28.904402,3,191.37,微信
O000209,U00318,P0304,2025-04-08 23:36:45.868823,1,12.92,微信
O000210,U01150,P0303,2025-06-21 16:16:26.746610,3,532.53,微信
O000211,U00872,P0420,2025-02-02 18:53:06.960135,1,62.53,微信
O000212,U00132,P0007,2025-12-29 17:57:38.019143,2,22.36,微信
O000213,U00448,P0242,2025-01-17 07:30:55.044073,1,117.11,支付宝
O000214,U00282,P0493,2025-03-10 21:29:35.870880,2,981.66,支付宝
O000215,U00134,P0477,2025-05-09 22:28:18.635907,1,23.76,银行卡
O000216,U01118,P0266,2025-01-08 15:18:26.840006,1,209.56,支付宝
O000217,U01699,P0213,2025-06-05 20:32:34.100410,2,112.28,支付宝
O000218,U00237,P0303,2025-05-14 20:08:08.407959,2,355.02,支付宝
O000219,U01662,P0106,2025-04-28 15:53:02.056325,1,143.26,支付宝
O000220,U01361,P0448,2025-06-06 11:07:56.701267,1,26.73,支付宝
O000221,U01433,P0089,2025-03-08 14:40:04.988049,1,130.21,微信
O000222,U01309,P0099,2025-11-06 22:08:11.366602,2,68.54,微信
O000223,U00534,P0418,2025-08-24 00:45:13.246471,2,140.24,支付宝
O000224,U01624,P0317,2025-05-27 11:31:40.676984,1,40.61,支付宝
O000225,U00666,P0033,2025-09-18 21:18:27.725419,1,164.89,支付宝
O000226,U00464,P0030,2025-04-10 02:06:12.398891,2,157.78,支付宝
O000227,U00475,P0237,2025-09-29 10:47:40.448087,2,83.54,支付宝
O000228,U01879,P0014,2025-07-11 09:17:28.813656,3,44.1,支付宝
O000229,U00663,P0099,2025-11-20 16:50:15.478154,2,68.54,支付宝
O000230,U01825,P0127,2025-12-12 22:02:06.620705,1,21.34,微信
O000231,U01971,P0008,2025-07-19 03:35:51.310892,2,205.24,支付宝
O000232,U01679,P0031,2025-06-13 09:49:25.435823,1,46.48,银行卡
O000233,U01184,P0323,2025-02-10 10:06:04.461775,2,210.02,花呗
O000234,U00071,P0086,2025-06-02 01:33:26.018323,1,238.09,微信
O000235,U01355,P0341,2025-03-15 19:23:30.526966,1,41.75,银行卡
O000236,U01798,P0399,2025-01-30 23:22:44.352607,1,33.68,支付宝
O000237,U01899,P0311,2025-02-11 02:31:36.125399,2,21.12,花呗
O000238,U01972,P0140,2025-09-02 02:24:44.473412,2,116.28,花呗
O000239,U01186,P0358,2025-10-26 06:00:53.026108,1,100.73,微信
O000240,U01057,P0256,2025-10-30 17:54:56.544355,1,47.07,支付宝
O000241,U00108,P0408,2025-11-07 08:30:34.609649,1,84.79,微信
O000242,U00274,P0381,2025-09-25 03:35:01.887552,1,25.15,微信
O000243,U00119,P0080,2025-02-05 06:35:31.507243,2,181.08,支付宝
O000244,U01349,P0142,2025-05-13 06:31:01.664491,2,22.84,支付宝
O000245,U01860,P0186,2025-06-20 08:45:03.878543,1,73.83,银行卡
O000246,U00370,P0012,2025-03-19 16:41:36.119360,1,46.23,微信
O000247,U00590,P0286,2025-09-10 01:12:13.406854,1,15.13,微信
O000248,U00472,P0184,2025-07-14 12:12:27.541856,2,340.18,微信
O000249,U01817,P0206,2025-12-25 22:33:23.809547,2,25.3,花呗
O000250,U00858,P0213,2025-03-22 04:43:28.224594,2,112.28,支付宝
O000251,U01383,P0367,2025-02-26 00:08:48.844135,2,109.58,花呗
O000252,U00502,P0184,2025-12-22 09:58:00.817162,2,340.18,微信
O000253,U00998,P0087,2025-06-10 21:33:11.474093,2,65.26,微信
O000254,U00095,P0109,2025-03-24 00:45:58.131354,1,29.25,微信
O000255,U01414,P0350,2025-06-18 04:33:15.945665,3,112.56,银行卡
O000256,U01638,P0491,2025-02-23 20:09:06.073612,1,176.82,微信
O000257,U00841,P0089,2025-11-22 14:02:58.393308,2,260.42,银行卡
O000258,U00028,P0047,2025-12-17 14:08:44.409974,1,65.87,支付宝
O000259,U01287,P0360,2025-06-09 07:19:51.809637,1,31.98,微信
O000260,U00772,P0201,2025-09-13 13:39:50.307479,1,6.71,支付宝
O000261,U01727,P0025,2025-06-17 04:29:02.142484,1,36.4,花呗
O000262,U00902,P0051,2025-05-14 04:15:18.715354,1,148.75,微信
O000263,U01565,P0263,2025-01-05 04:57:20.415384,1,118.47,支付宝
O000264,U00356,P0307,2025-05-02 14:30:47.632980,1,72.39,花呗
O000265,U00794,P0438,2025-02-07 06:40:51.757089,2,98.42,支付宝
O000266,U00948,P0413,2025-03-17 14:43:47.993213,2,469.46,花呗
O000267,U01323,P0228,2025-08-09 01:27:33.976737,3,146.22,微信
O000268,U01793,P0382,2025-06-25 03:10:02.997799,3,81.3,支付宝
O000269,U01407,P0069,2025-11-06 14:50:47.003865,1,78.79,银行卡
O000270,U00118,P0472,2025-09-20 16:24:32.717857,2,251.04,微信
O000271,U00238,P0489,2025-10-28 05:46:10.981975,2,10.0,花呗
O000272,U01718,P0282,2025-04-11 21:50:15.593415,1,54.73,微信
O000273,U01191,P0158,2025-11-04 02:01:18.048795,2,534.5,支付宝
O000274,U01591,P0034,2025-06-07 17:59:43.931009,2,138.76,微信
O000275,U00375,P0408,2025-10-10 21:52:06.062644,2,169.58,微信
O000276,U00915,P0407,2025-12-14 05:19:22.119588,2,162.4,花呗
O000277,U01094,P0277,2025-11-20 23:06:12.786218,1,86.01,支付宝
O000278,U00209,P0224,2025-06-14 07:56:40.123177,1,33.44,微信
O000279,U00266,P0004,2025-06-28 17:42:43.461021,1,47.14,银行卡
O000280,U01099,P0049,2025-04-01 21:58:55.546820,1,92.03,微信
O000281,U00052,P0082,2025-05-10 00:49:14.576290,2,139.94,微信
O000282,U00951,P0048,2025-09-27 04:07:42.974357,1,172.74,花呗
O000283,U01685,P0098,2025-05-30 18:18:25.092574,1,156.08,微信
O000284,U01385,P0498,2025-09-16 01:36:24.749734,1,42.31,支付宝
O000285,U01989,P0073,2025-10-20 05:50:26.265354,1,8.63,微信
O000286,U00837,P0497,2025-09-22 07:55:05.814452,3,262.47,微信
O000287,U01292,P0271,2025-02-07 22:58:13.772699,3,153.48,微信
O000288,U01898,P0008,2025-09-04 11:32:17.421027,1,102.62,支付宝
O000289,U00733,P0123,2025-09-15 18:47:58.970861,1,45.44,银行卡
O000290,U00704,P0309,2025-03-07 14:31:16.256230,3,42.84,支付宝
O000291,U00025,P0265,2025-11-30 11:08:39.595363,3,53.79,支付宝
O000292,U00102,P0203,2025-10-16 11:10:22.030698,1,60.3,支付宝
O000293,U00250,P0155,2025-05-12 00:09:20.356505,1,149.38,花呗
O000294,U00327,P0316,2025-02-15 20:13:58.617320,2,670.98,花呗
O000295,U01578,P0072,2025-04-18 22:24:49.497613,1,66.58,花呗
O000296,U01412,P0043,2025-08-22 19:22:03.821096,1,155.04,支付宝
O000297,U01547,P0146,2025-10-13 09:51:04.695356,2,587.24,银行卡
O000298,U00681,P0126,2025-12-01 14:59:28.167603,1,26.21,花呗
O000299,U01934,P0489,2025-08-22 23:01:45.690813,2,10.0,微信
O000300,U00594,P0161,2025-12-02 09:03:56.267939,2,92.9,花呗
O000301,U00384,P0125,2025-06-01 14:27:36.872842,3,1601.79,支付宝
O000302,U01644,P0139,2025-11-15 03:39:54.387664,2,89.44,花呗
O000303,U01082,P0260,2025-12-29 17:55:10.826237,2,137.26,微信
O000304,U01631,P0227,2025-08-05 17:53:56.748969,3,109.08,微信
O000305,U01275,P0212,2025-07-05 14:17:28.291153,3,131.43,支付宝
O000306,U01498,P0303,2025-06-01 08:01:49.190643,2,355.02,支付宝
O000307,U00945,P0153,2025-06-16 08:34:22.261013,3,81.96,支付宝
O000308,U01236,P0215,2025-06-06 18:57:42.813227,3,327.78,花呗
O000309,U00729,P0215,2025-03-29 05:36:03.722503,2,218.52,花呗
O000310,U01270,P0164,2025-04-13 14:37:26.327841,3,1918.62,微信
O000311,U01230,P0110,2025-03-12 06:21:50.087176,1,9.74,微信
O000312,U01711,P0163,2025-03-09 14:47:28.014063,1,38.28,支付宝
O000313,U01881,P0069,2025-10-01 09:21:06.131578,2,157.58,微信
O000314,U00846,P0120,2025-09-08 22:42:02.465456,2,374.86,微信
O000315,U01214,P0125,2025-07-14 16:42:04.794930,3,1601.79,微信
O000316,U00740,P0255,2025-11-07 04:21:53.232952,3,287.58,银行卡
O000317,U00202,P0116,2025-06-05 21:11:53.222894,2,48.62,支付宝
O000318,U00095,P0046,2025-04-05 20:07:16.475746,2,141.8,微信
O000319,U00190,P0184,2025-02-04 22:45:07.926569,1,170.09,微信
O000320,U00888,P0201,2025-04-03 21:26:44.719441,2,13.42,微信
O000321,U00366,P0280,2025-06-08 22:24:40.389593,1,77.66,支付宝
O000322,U01458,P0394,2025-08-31 09:33:53.109878,3,75.06,微信
O000323,U00317,P0276,2025-07-01 01:23:08.920454,2,209.9,支付宝
O000324,U01545,P0455,2025-06-15 00:29:47.425986,1,222.16,花呗
O000325,U00086,P0320,2025-12-26 19:33:46.148014,1,864.96,微信
O000326,U01490,P0282,2025-09-16 10:45:30.896588,1,54.73,支付宝
O000327,U01715,P0429,2025-06-05 06:30:24.570576,2,69.28,微信
O000328,U00224,P0337,2025-01-22 23:40:14.612790,2,232.94,微信
O000329,U00414,P0068,2025-11-10 20:59:15.137468,1,59.43,花呗
O000330,U00227,P0341,2025-05-05 16:26:54.093120,3,125.25,花呗
O000331,U00632,P0287,2025-07-05 18:53:43.298338,1,35.86,支付宝
O000332,U00431,P0086,2025-09-04 23:38:12.227054,1,238.09,支付宝
O000333,U00740,P0332,2025-03-18 02:26:48.294182,1,63.4,微信
O000334,U00970,P0492,2025-06-07 23:25:26.921921,1,36.27,花呗
O000335,U00483,P0152,2025-04-05 20:51:27.166449,1,462.95,花呗
O000336,U00912,P0153,2025-11-14 05:00:18.851437,2,54.64,微信
O000337,U01701,P0475,2025-10-02 12:42:27.001348,2,65.22,银行卡
O000338,U01875,P0192,2025-09-18 13:50:10.797875,1,54.86,支付宝
O000339,U00655,P0178,2025-11-25 16:24:16.767080,1,120.99,花呗
O000340,U00230,P0356,2025-02-02 18:18:33.723849,1,81.38,花呗
O000341,U00569,P0231,2025-04-21 13:06:35.374718,3,60.09,花呗
O000342,U01800,P0214,2025-03-04 16:54:19.505564,1,59.01,微信
O000343,U00307,P0219,2025-11-29 06:56:05.734556,1,10.37,支付宝
O000344,U01997,P0440,2025-07-28 15:59:44.180984,1,24.01,支付宝
O000345,U00727,P0131,2025-01-20 10:59:14.532566,1,23.33,银行卡
O000346,U01384,P0073,2025-10-30 09:24:06.847340,1,8.63,银行卡
O000347,U01905,P0151,2025-05-01 11:24:24.993381,1,120.03,支付宝
O000348,U01692,P0414,2025-03-11 05:56:08.249833,1,59.23,支付宝
O000349,U00181,P0464,2025-09-02 05:48:28.061998,2,56.9,微信
O000350,U00940,P0020,2025-10-31 06:21:26.548352,1,114.79,银行卡
O000351,U01579,P0145,2025-06-03 01:34:42.557364,1,138.76,花呗
O000352,U01054,P0316,2025-11-04 02:29:48.611166,2,670.98,银行卡
O000353,U00686,P0330,2025-04-17 18:13:19.525556,2,174.02,花呗
O000354,U01631,P0381,2025-05-11 18:38:35.290029,3,75.45,微信
O000355,U00396,P0435,2025-10-12 12:46:01.317847,1,20.97,支付宝
O000356,U01017,P0475,2025-05-11 06:30:51.135911,1,32.61,银行卡
O000357,U01495,P0206,2025-07-26 23:02:46.787398,1,12.65,支付宝
O000358,U01409,P0406,2025-11-08 16:36:16.393204,1,69.88,微信
O000359,U00472,P0402,2025-06-05 05:35:47.381221,2,192.96,微信
O000360,U01045,P0427,2025-03-23 10:10:47.974744,1,32.68,微信
O000361,U00732,P0465,2025-08-10 20:36:21.405845,1,51.47,微信
O000362,U00327,P0336,2025-08-25 18:35:06.411372,1,16.29,微信
O000363,U00952,P0113,2025-02-16 17:40:08.244712,1,20.95,银行卡
O000364,U01266,P0020,2025-02-13 03:27:39.095181,2,229.58,微信
O000365,U01629,P0421,2025-06-09 12:21:19.412571,1,83.96,微信
